YYYYMMDD,DOY,TEMP,RHUM,RAIN,LAT,LON
2000-03-23,083,26.33,79.556549072265625,0,14.6774,121.25562
2000-03-24,084,26.71,77.49616241455078,0,14.6774,121.25562
2000-03-25,085,25.22,80.07645416259766,0,14.6774,121.25562
2000-03-26,086,25.46,78.61800384521484,0,14.6774,121.25562
2000-03-27,087,24.88,81.99349212646484,0,14.6774,121.25562
2000-03-28,088,27.07,77.3866958618164,0,14.6774,121.25562
2000-03-29,089,26.51,76.91145324707031,0,14.6774,121.25562
2000-03-30,090,26.76,75.58341217041016,0,14.6774,121.25562
2000-03-31,091,27.09,76.00599670410156,34.66873550415039,14.6774,121.25562
2000-04-01,092,27.57,74.92484283447266,0,14.6774,121.25562
2000-04-02,093,27.72,74.23892974853516,0,14.6774,121.25562
2000-04-03,094,27.02,80.008026123046875,0,14.6774,121.25562
2000-04-04,095,27.55,77.229248046875,0,14.6774,121.25562
2000-04-05,096,28.57,67.71392059326172,0,14.6774,121.25562
2000-04-06,097,27.47,76.1196517944336,15.597679138183594,14.6774,121.25562
2000-04-07,098,25.44,87.09424591064453,0,14.6774,121.25562
2000-04-08,099,26.92,77.36328125,0,14.6774,121.25562
2000-04-09,100,27.56,74.5977783203125,15.597679138183594,14.6774,121.25562
2000-04-10,101,27.5,74.207427978515625,0,14.6774,121.25562
2000-04-11,102,27.39,73.162506103515625,0,14.6774,121.25562
2000-04-12,103,27.14,75.28678131103516,0,14.6774,121.25562
2000-04-13,104,27.58,77.217803955078125,0,14.6774,121.25562
2000-04-14,105,28.07,76.32301330566406,0,14.6774,121.25562
2000-04-15,106,28.39,75.703460693359375,0,14.6774,121.25562
2000-04-16,107,27.21,75.27446746826172,0,14.6774,121.25562
2000-04-17,108,27.53,77.92639923095703,0,14.6774,121.25562
2000-04-18,109,27.97,73.56819152832031,0,14.6774,121.25562
2000-04-19,110,27.93,77.66890716552734,0,14.6774,121.25562
2000-04-20,111,27.32,79.80621337890625,30.71131134033203,14.6774,121.25562
2000-04-21,112,28.33,80.84978485107422,8.434542655944824,14.6774,121.25562
2000-04-22,113,28.53,78.63655853271484,0,14.6774,121.25562
2000-04-23,114,28.52,79.05716705322266,8.434542655944824,14.6774,121.25562
2000-04-24,115,28.23,77.4024658203125,8.434542655944824,14.6774,121.25562
2000-04-25,116,28.67,76.02864074707031,0,14.6774,121.25562
2000-04-26,117,29.05,74.42559051513672,0,14.6774,121.25562
2000-04-27,118,28.18,78.62357330322266,8.05330753326416,14.6774,121.25562
2000-04-28,119,28.46,72.02348327636719,0,14.6774,121.25562
2000-04-29,120,27.59,71.83138275146484,0,14.6774,121.25562
